id,name,mission_goal,crew_count,estimated_duration,power_source,acs_control,report,payload_image_reference,launch_vehicle,destination,semi_major_axis,periapsis,apoapsis,orbital_period,eccentricity,inclination,longitude_of_ascending_node,argument_of_periapsis,latitude_of_landing,longitude_of_landing,stages
1,Luna 14,Lunar Landing,0,2 Weeks,Solar Panels,3-axis RCS,"The Luna 14 mission was launched on March 1st 1963, towards a 180km, 45.96 degree inclination orbit. The first stage fired successfully, but the second stage experienced an engine failure, and the vehicle lost control. Attempts to fire the third stage and transfer stage to place the vehicle into a useful communications orbit failed due to guidance issues. The vehicle’s flight was terminated 5 to 6 minutes after launch.",static/images/payloads/Luna-14.png,UR-350A,The Moon,,,,,,,,,,,"[5,6,7,9]"
2,Luna 15,Lunar Landing,0,2 Weeks,Solar Panels,3-axis RCS,"The Luna 15 mission was launched on the 12th of April 1963 into a 180km, 44.58 degree inclination orbit. All stages of the launch vehicle fired successfully and placed the payload into a parking orbit. The payload deployed communications dishes and plotted a burn using its Pegasus-C kick stage to transfer it to a lunar impact trajectory. 3 days later, upon arrival at the moon, a small 14 m/s burn was completed to target the landing in the lunar lowlands. 2 successful braking burns were performed by the transfer stage to lower the vehicle speed to ~50 m/s. A minor mishap occurred with the attitude of the payload in the early stages, however, software corrected this, and the vehicle was once more under control. The mission then successfully landed in the lunar lowlands.",static/images/payloads/Luna-15.png,UR-350A,The Moon,,,,,,,,,25.7678,-93.895,"[5,6,7,9]"
3,Svet 15,Commercial Communications,0,5 Years,Solar Panels,Spin Stabilised,"The Svet 15 is a commercial communications satellite targeting a tundra orbit. It also functions as a scientific satellite for the space program, as it gathers helpful information on orbital perturbations. Launched on the 20th of April 1963, it initially targeted a 180km, 116.6 degree inclination orbit. A minor guidance error caused the spacecraft to enter an eccentric parking orbit, but this is within fuel tolerances. A burn using the Pegasus-B kick stage was plotted to raise the apogee to meet contract parameters. The spacecraft was inserted into its target orbit, spun up for stability, and separated from the transfer stage.",static/images/payloads/Svet-15.png,UR-200A,Earth,42423100,483382,71620871,86959.09,0.838,116.689,264.3019,90.2,,,"[3,4,8]"
4,Luna 16,Lunar Landing,0,2 Weeks,Solar Panels,3-axis RCS,"The Luna 16 mission was launched on June 10th 1963, towards a 180km, 41.30 degree inclination orbit. The first stage fired successfully, but the third stage experienced an engine failure in the vernier thrusters and the vehicle lost control. The range safety system was triggered, terminating the mission with debris falling over the Pacific Ocean.",static/images/payloads/Luna-16.png,UR-350A,The Moon,,,,,,,,,,,"[5,6,7,9]"
5,Luna 17,Lunar Landing,0,2 Weeks,Solar Panels,3-axis RCS,"The Luna 17 mission targeting a landing on the near side of the moon was launched on the 3rd of August 1963, towards a 180km, 42 degree circular orbit.  The first stage suffered a malfunction with one engine shutting down halfway through its burns. Fortunately, the gimbals were able to correct for this loss of thrust and the vehicle continued with its ascent. The vehicle successfully entered orbit 6 minutes and 12 seconds after liftoff. The Pegasus-C kick stage then successfully sent the spacecraft on a path to the Moon. A small correction was made to target the landing for Oceanus Procellarum. Two braking burns later, the spacecraft successfully landed on the lunar surface.",static/images/payloads/Luna-17.png,UR-350A,The Moon,,,,,,,,,26.4256,-75.4522,"[5,6,7,9]"
6,Svet 16,Commercial Communications,0,5 Years,Solar Panels,Spin Stabilised,"Svet 16 is a commercial communications satellite targeting a tundra orbit. It also functions as a scientific satellite for the space program because it gathers helpful information on orbital perturbations. Launched on the 9th of September 1963, it initially targeted a 180km, 63.4 degree inclination orbit. The spacecraft entered its parking orbit successfully, but a minor issue with automatic guidance systems resulted in the final orbital insertion needing to be completed by ground operators. Two burns of the Pegasus-B kick stage successfully place the satellite into its target orbit.",static/images/payloads/Svet-16.png,UR-200A,Earth,42410200,470250,71608200,86919.43,0.839,63.59,303.1975,90.5,,,"[3,4,8]"
7,Pioneer 3,Scientific Planetary Flyby,0,1 Year,Solar Panels,3-axis RCS,"Pioneer 3 spacecraft is an early scientific mission targeting a flyby of the planet Mercury. It was launched into a 180 km, 39.6 degree inclination parking orbit on the 7th of October 1963. Upon reaching orbit, it waited a day for the optimal transfer time, and the Pegasus-C kick stage successfully placed the spacecraft into a Mercury transfer orbit. A small correction by the spacecraft was completed 3 days later to fine-tune the approach from 27,000 km to 100km above the surface. The spacecraft arrived at Mercury on the 2nd of February, 1964 and had a ~5-hour flyby. During this time, we gathered valuable data and funding for our achievement.",static/images/payloads/Pioneer-3.png,UR-350A,Mercury,-133986,116058,,,20.077,157.621,110.8869,85.8,,,"[5,6,7,9]"
8,Luna 18,Lunar Landing,0,2 Weeks,Solar Panels,3-axis RCS,"The Luna 18 mission targeting a landing on the near side of the moon was launched on the 16th of October 1963 towards a 180km, 46 degree circular orbit. The UR-350A vehicle successfully placed the transfer vehicle into its target orbit with no malfunctions. The vehicle successfully entered orbit 6 minutes and 12 seconds after liftoff. The Pegasus-C kick stage then successfully sent the spacecraft on a path to the Moon. A ~25 m/s burn was made with RCS to target a landing in Mare Imbrium. After 2 breaking burns and an incident with the payload being over-fueled, preventing direct control, the spacecraft successfully landed in Mare Imbrium.",static/images/payloads/Luna-18.png,UR-350A,The Moon,,,,,,,,,7.5053,-32.3497,"[5,6,7,9]"
9,Luna 19,Lunar Communications Network,0,2 Years,Solar Panels,3-axis RCS,"The Luna 19 mission aims to deploy a communication network in lunar orbit to facilitate far-side lunar landings. Launched on the 21st of November into a 180km, 44.2 degree orbit, the UR-350A launch vehicle performed perfectly and placed the payload into low Earth orbit. The Pegasus-C kick stage then performed 4 burns, the first to place the spacecraft into a lunar transfer orbit, a second to capture into an eccentric lunar orbit, a third to correct the orbital inclination, and a fourth to place the kick stage and attached communication satellites into a resonant orbit. The satellites were deployed on the 25th and 26th of November 1963.",static/images/payloads/Luna-19.png,UR-350A,The Moon,9750730,7966000,8061270,86400,0.005,179.774,260.7761,167.4,,,"[5,6,7,9]"
10,Svet 17,Commercial Communications,0,5 Years,Solar Panels,Spin Stabilised,"The Svet 17 mission aims to continue commercial communication services. The mission was launched into a 116.6 degree, 180 km parking orbit on the 30th of November, 1963.. The UR-200A launch vehicle performs nominally and places the Pegasus-B kick stage and the spacecraft into its parking orbit. A small burn is performed to raise the apogee to match the final orbital periapsis. This mission is special in that it is the first commercial contract to require a reverse tundra orbit, spending extended periods over the southern hemisphere. This will provide useful communication capabilities. The Pegasus-B kick stage performs a final burn to insert Svet 17 into its final orbit.",static/images/payloads/Svet-17.png,UR-200A,Earth,42262700,465582,7137900,86466.38,0.838,116.579,139.7692,89.8,,,"[3,4,8]"
11,Luna 20,Scientific Orbiter,0,5 Years,Solar Panels,Spin Stabilised,"The Luna 20 mission aims to further our scientific understanding of the lunar environment using a suite of new scientific experiments previously reserved for interplanetary missions. It successfully launched into a 180km, 52.5 degree inclination parking orbit on the 22nd of December, 1963 and will be the program's second to last mission of the year. The Pegasus-B kick stage performed a 3132m/s burn to place the spacecraft onto a translunar trajectory. An oversight with the mission design means that the spacecraft has no control beyond Earth and cannot successfully perform its capture manoeuvre. To further add insult to injury, the avionics drained too much power, and there was no power to run the spacecraft.",static/images/payloads/Luna-20.png,UR-200A,The Moon,,,,,,,,,,,"[3,4,8]"
12,Explorer 4,Scientific Orbiter,0,5 Years,Solar Panels,Spin Stabilised,"The Explorer 4 mission was attempted to launch into a 180km polar parking orbit. For unknown reasons, an aerodynamic element exploded, causing the vehicle to lose control. The range safety officer terminated the flight 3 minutes after liftoff.",static/images/payloads/Explorer-4.png,UR-100A,Earth,,,,,,,,,,,"[1,2,8]"
13,Luna 21,Scientific Orbiter,0,5 Years,Solar Panels,Spin Stabilised,"The Luna 21 mission was the 4th mission launched by the program to place a scientific orbiter into orbit around the Moon. Launched on the 10th of February 1964 into low Earth orbit by the UR-200A, Luna 21 used its Pegasus-B transfer stage to enter a translunar trajectory. Arriving three and a half days later, the Pegasus-B performed 3 burns to place the spacecraft into its target orbit of 32 by 250 km, successfully deployed into its orbit with science experiments running.",static/images/payloads/Luna-21.png,UR-200A,The Moon,1878910,32812,250816,7308,0.058,89.846,204.8811,214.4,,,"[3,4,8]"
14,Explorer 5,Scientific Orbiter,0,5 Years,Solar Panels,Spin Stabilised,"The Explorer 5 mission follows the same flight plan as Explorer 4, launching into a 180km polar parking orbit on the 8th of February 1964 before boosting into an eccentric orbit to gather information on the infrared spectrum, magnetosphere, and micrometeorite concentrations. During ascent, the second stage of the UR-100A suffered a minor failure of its main engine, reducing its thrust output. However, the mission successfully concluded with the deployment of the satellite into its target orbit using the Pegasus-B parking stage.",static/images/payloads/Explorer-5.png,UR-100A,Earth,39362000,2107440,63874651,77719.05,0.785,89.852,101.3386,352.6,,,"[1,2,8]"
